file,question_id,question_text,selected,confidence,needs_review,review_reason,expected,is_correct
answer_001.png,Q1,Synthetic survey question 1,3,0.9616,False,,3,True
answer_001.png,Q2,Synthetic survey question 2,4,0.9643,False,,4,True
answer_001.png,Q3,Synthetic survey question 3,5,0.9615,False,,5,True
answer_001.png,Q4,Synthetic survey question 4,1,0.9612,False,,1,True
answer_001.png,Q5,Synthetic survey question 5,2,0.9615,False,,2,True
answer_001.png,Q6,Synthetic survey question 6,3,0.9616,False,,3,True
answer_001.png,Q7,Synthetic survey question 7,4,0.9643,False,,4,True
answer_001.png,Q8,Synthetic survey question 8,5,0.9615,False,,5,True
answer_001.png,Q9,Synthetic survey question 9,1,0.9612,False,,1,True
answer_001.png,Q10,Synthetic survey question 10,2,0.9615,False,,2,True
